,Origin,Destination,Total_pax,Connected_at
516,LTFM,LDZA,0.0,LIRF
517,LTFM,EBBR,0.0,LIRF
518,LTFM,EIDW,0.0,LIRF
519,LTFM,LGAV,0.0,LIRF
520,LTFM,BIKF,0.0,LIRF
521,LTFM,EETN,0.0,LIRF
522,LTFM,LKPR,0.0,LIRF
523,LTFM,FACT,0.0,LIRF
524,LTFM,ESSA,0.0,LIRF
525,LTFM,EGPH,0.0,LIRF
526,LTFM,LFQQ,0.0,LIRF
527,LTFM,LPPT,0.0,LIRF
528,ZBAA,LIRF,0.0,LIRF
529,ZBAA,EDDT,0.0,LIRF
530,ZBAA,RJAA,0.0,LIRF
531,ZBAA,EDDM,0.0,LIRF
532,ZBAA,LFPG,0.0,LIRF
533,ZBAA,SAEZ,0.0,LIRF
534,ZBAA,CYYZ,0.0,LIRF
535,ZBAA,MMMX,0.0,LIRF
536,ZBAA,CYVR,0.0,LIRF
537,ZBAA,EDDF,0.0,LIRF
538,ZBAA,KJFK,0.0,LIRF
539,ZBAA,SBGL,0.0,LIRF
540,ZBAA,LEMD,0.0,LIRF
541,ZBAA,ZSPD,0.0,LIRF
542,ZBAA,OMDB,0.0,LIRF
543,ZBAA,LTFM,0.0,LIRF
544,ZBAA,ZBAA,-0.0,LIRF
545,ZBAA,VIDP,0.0,LIRF
546,ZBAA,EFRO,0.0,LIRF
547,ZBAA,EHEH,0.0,LIRF
548,ZBAA,EFHK,0.0,LIRF
549,ZBAA,LDZA,0.0,LIRF
550,ZBAA,EBBR,0.0,LIRF
551,ZBAA,EIDW,0.0,LIRF
552,ZBAA,LGAV,0.0,LIRF
553,ZBAA,BIKF,0.0,LIRF
554,ZBAA,EETN,0.0,LIRF
555,ZBAA,LKPR,0.0,LIRF
556,ZBAA,FACT,0.0,LIRF
557,ZBAA,ESSA,0.0,LIRF
558,ZBAA,EGPH,0.0,LIRF
559,ZBAA,LFQQ,0.0,LIRF
560,ZBAA,LPPT,0.0,LIRF
561,VIDP,LIRF,0.0,LIRF
562,VIDP,EDDT,0.0,LIRF
563,VIDP,RJAA,0.0,LIRF
564,VIDP,EDDM,0.0,LIRF
565,VIDP,LFPG,0.0,LIRF
566,VIDP,SAEZ,0.0,LIRF
567,VIDP,CYYZ,0.0,LIRF
568,VIDP,MMMX,0.0,LIRF
569,VIDP,CYVR,0.0,LIRF
570,VIDP,EDDF,0.0,LIRF
571,VIDP,KJFK,0.0,LIRF
572,VIDP,SBGL,0.0,LIRF
573,VIDP,LEMD,0.0,LIRF
574,VIDP,ZSPD,0.0,LIRF
575,VIDP,OMDB,0.0,LIRF
576,VIDP,LTFM,0.0,LIRF
577,VIDP,ZBAA,0.0,LIRF
578,VIDP,VIDP,-0.0,LIRF
579,VIDP,EFRO,0.0,LIRF
580,VIDP,EHEH,0.0,LIRF
581,VIDP,EFHK,0.0,LIRF
582,VIDP,LDZA,0.0,LIRF
583,VIDP,EBBR,0.0,LIRF
584,VIDP,EIDW,0.0,LIRF
585,VIDP,LGAV,0.0,LIRF
586,VIDP,BIKF,0.0,LIRF
587,VIDP,EETN,0.0,LIRF
588,VIDP,LKPR,0.0,LIRF
589,VIDP,FACT,0.0,LIRF
590,VIDP,ESSA,0.0,LIRF
591,VIDP,EGPH,0.0,LIRF
592,VIDP,LFQQ,0.0,LIRF
593,VIDP,LPPT,0.0,LIRF
594,EFRO,LIRF,0.0,LIRF
595,EFRO,EDDT,0.0,LIRF
596,EFRO,RJAA,0.0,LIRF
597,EFRO,EDDM,0.0,LIRF
598,EFRO,LFPG,0.0,LIRF
599,EFRO,SAEZ,0.0,LIRF
600,EFRO,CYYZ,0.0,LIRF
601,EFRO,MMMX,0.0,LIRF
602,EFRO,CYVR,0.0,LIRF
603,EFRO,EDDF,0.0,LIRF
604,EFRO,KJFK,0.0,LIRF
605,EFRO,SBGL,0.0,LIRF
606,EFRO,LEMD,0.0,LIRF
607,EFRO,ZSPD,0.0,LIRF
608,EFRO,OMDB,0.0,LIRF
609,EFRO,LTFM,0.0,LIRF
610,EFRO,ZBAA,0.0,LIRF
611,EFRO,VIDP,0.0,LIRF
612,EFRO,EFRO,-0.0,LIRF
613,EFRO,EHEH,0.0,LIRF
614,EFRO,EFHK,0.0,LIRF
615,EFRO,LDZA,0.0,LIRF
616,EFRO,EBBR,0.0,LIRF
617,EFRO,EIDW,0.0,LIRF
618,EFRO,LGAV,0.0,LIRF
619,EFRO,BIKF,0.0,LIRF
620,EFRO,EETN,0.0,LIRF
621,EFRO,LKPR,0.0,LIRF
622,EFRO,FACT,0.0,LIRF
623,EFRO,ESSA,0.0,LIRF
624,EFRO,EGPH,0.0,LIRF
625,EFRO,LFQQ,0.0,LIRF
626,EFRO,LPPT,0.0,LIRF
627,EHEH,LIRF,0.0,LIRF
628,EHEH,EDDT,0.0,LIRF
629,EHEH,RJAA,0.0,LIRF
630,EHEH,EDDM,0.0,LIRF
631,EHEH,LFPG,0.0,LIRF
632,EHEH,SAEZ,0.0,LIRF
633,EHEH,CYYZ,0.0,LIRF
