,ICAO Code_origin,ICAO Code_destination,Origin,Destination,Line,Total_flights_AC_1,Total_flights_AC_2,Total_flights_AC_3,Total_pax,OD_pair
66,RJAA,LIRF,POINT (140.3843 35.7702),POINT (12.239712 41.77354),"LINESTRING (140.3843 35.7702, 12.239712 41.77354)",0.0,0.0,1.0,147.0,LIRF_RJAA
67,RJAA,EDDT,POINT (140.3843 35.7702),POINT (13.2877 52.5597),"LINESTRING (140.3843 35.7702, 13.2877 52.5597)",0.0,0.0,1.0,158.0,EDDT_RJAA
69,RJAA,EDDM,POINT (140.3843 35.7702),POINT (11.7861 48.3538),"LINESTRING (140.3843 35.7702, 11.7861 48.3538)",0.0,0.0,1.0,128.0,EDDM_RJAA
70,RJAA,LFPG,POINT (140.3843 35.7702),POINT (2.55 49.0128),"LINESTRING (140.3843 35.7702, 2.55 49.0128)",0.0,0.0,1.0,256.0,LFPG_RJAA
71,RJAA,SAEZ,POINT (140.3843 35.7702),POINT (-58.5373 -34.8165),"LINESTRING (140.3843 35.7702, -58.5373 -34.8165)",0.0,0.0,0.0,0.0,RJAA_SAEZ
72,RJAA,CYYZ,POINT (140.3843 35.7702),POINT (-79.61450000000001 43.6817),"LINESTRING (140.3843 35.7702, -79.61450000000001 43.6817)",0.0,0.0,0.0,0.0,CYYZ_RJAA
73,RJAA,MMMX,POINT (140.3843 35.7702),POINT (-99.0719 19.4361),"LINESTRING (140.3843 35.7702, -99.0719 19.4361)",0.0,0.0,1.0,256.0,MMMX_RJAA
74,RJAA,CYVR,POINT (140.3843 35.7702),POINT (-123.1788 49.1951),"LINESTRING (140.3843 35.7702, -123.1788 49.1951)",0.0,0.0,1.0,139.0,CYVR_RJAA
75,RJAA,EDDF,POINT (140.3843 35.7702),POINT (8.570600000000001 50.0333),"LINESTRING (140.3843 35.7702, 8.570600000000001 50.0333)",0.0,0.0,1.0,119.0,EDDF_RJAA
76,RJAA,KJFK,POINT (140.3843 35.7702),POINT (-73.77970000000001 40.6446),"LINESTRING (140.3843 35.7702, -73.77970000000001 40.6446)",0.0,0.0,1.0,256.0,KJFK_RJAA
77,RJAA,SBGL,POINT (140.3843 35.7702),POINT (-43.2566 -22.8053),"LINESTRING (140.3843 35.7702, -43.2566 -22.8053)",0.0,0.0,0.0,0.0,RJAA_SBGL
78,RJAA,LEMD,POINT (140.3843 35.7702),POINT (-3.5626 40.4719),"LINESTRING (140.3843 35.7702, -3.5626 40.4719)",0.0,0.0,1.0,176.0,LEMD_RJAA
79,RJAA,ZSPD,POINT (140.3843 35.7702),POINT (121.8083 31.1443),"LINESTRING (140.3843 35.7702, 121.8083 31.1443)",1.0,2.0,1.0,525.0,RJAA_ZSPD
80,RJAA,OMDB,POINT (140.3843 35.7702),POINT (55.3641 25.2566),"LINESTRING (140.3843 35.7702, 55.3641 25.2566)",0.0,0.0,1.0,118.0,OMDB_RJAA
81,RJAA,LTFM,POINT (140.3843 35.7702),POINT (28.7425 41.2593),"LINESTRING (140.3843 35.7702, 28.7425 41.2593)",0.0,0.0,1.0,213.0,LTFM_RJAA
82,RJAA,ZBAA,POINT (140.3843 35.7702),POINT (116.6031 40.0799),"LINESTRING (140.3843 35.7702, 116.6031 40.0799)",1.0,1.0,1.0,413.0,RJAA_ZBAA
83,RJAA,VIDP,POINT (140.3843 35.7702),POINT (77.1006 28.5567),"LINESTRING (140.3843 35.7702, 77.1006 28.5567)",0.0,3.0,0.0,353.0,RJAA_VIDP
84,RJAA,EFRO,POINT (140.3843 35.7702),POINT (25.8275 66.55800000000001),"LINESTRING (140.3843 35.7702, 25.8275 66.55800000000001)",0.0,0.0,0.0,0.0,EFRO_RJAA
85,RJAA,EHEH,POINT (140.3843 35.7702),POINT (5.3784 51.4505),"LINESTRING (140.3843 35.7702, 5.3784 51.4505)",0.0,0.0,0.0,0.0,EHEH_RJAA
86,RJAA,EFHK,POINT (140.3843 35.7702),POINT (24.9633 60.3172),"LINESTRING (140.3843 35.7702, 24.9633 60.3172)",0.0,0.0,1.0,107.0,EFHK_RJAA
87,RJAA,LDZA,POINT (140.3843 35.7702),POINT (16.0675 45.7407),"LINESTRING (140.3843 35.7702, 16.0675 45.7407)",0.0,0.0,0.0,0.0,LDZA_RJAA
