,Origin,Destination,Total_flights
502,LTFM,MMMX,1.0
503,LTFM,CYVR,0.0
504,LTFM,EDDF,0.0
505,LTFM,KJFK,1.0
506,LTFM,SBGL,1.0
507,LTFM,LEMD,-0.0
508,LTFM,ZSPD,1.0
509,LTFM,OMDB,0.0
510,LTFM,LTFM,0.0
511,LTFM,ZBAA,1.0
512,LTFM,VIDP,-0.0
513,LTFM,EFRO,0.0
514,LTFM,EHEH,0.0
515,LTFM,EFHK,0.0
516,LTFM,LDZA,0.0
517,LTFM,EBBR,0.0
518,LTFM,EIDW,0.0
519,LTFM,LGAV,-0.0
520,LTFM,BIKF,0.0
521,LTFM,EETN,0.0
522,LTFM,LKPR,-0.0
523,LTFM,FACT,0.0
524,LTFM,ESSA,0.0
525,LTFM,EGPH,0.0
526,LTFM,LFQQ,0.0
527,LTFM,LPPT,0.0
528,ZBAA,LIRF,1.0
529,ZBAA,EDDT,1.0
530,ZBAA,RJAA,-0.0
531,ZBAA,EDDM,0.0
532,ZBAA,LFPG,1.0
533,ZBAA,SAEZ,0.0
534,ZBAA,CYYZ,1.0
535,ZBAA,MMMX,0.0
536,ZBAA,CYVR,0.0
537,ZBAA,EDDF,0.0
538,ZBAA,KJFK,1.0
539,ZBAA,SBGL,0.0
540,ZBAA,LEMD,1.0
541,ZBAA,ZSPD,1.0
542,ZBAA,OMDB,0.0
543,ZBAA,LTFM,1.0
544,ZBAA,ZBAA,0.0
545,ZBAA,VIDP,1.0
546,ZBAA,EFRO,0.0
547,ZBAA,EHEH,0.0
548,ZBAA,EFHK,0.0
549,ZBAA,LDZA,0.0
550,ZBAA,EBBR,-0.0
551,ZBAA,EIDW,0.0
552,ZBAA,LGAV,-0.0
553,ZBAA,BIKF,0.0
554,ZBAA,EETN,0.0
555,ZBAA,LKPR,0.0
556,ZBAA,FACT,0.0
557,ZBAA,ESSA,-0.0
558,ZBAA,EGPH,0.0
559,ZBAA,LFQQ,0.0
560,ZBAA,LPPT,0.0
561,VIDP,LIRF,0.0
562,VIDP,EDDT,0.0
563,VIDP,RJAA,-0.0
564,VIDP,EDDM,0.0
565,VIDP,LFPG,1.0
566,VIDP,SAEZ,0.0
567,VIDP,CYYZ,1.0
568,VIDP,MMMX,0.0
569,VIDP,CYVR,0.0
570,VIDP,EDDF,0.0
571,VIDP,KJFK,1.0
572,VIDP,SBGL,0.0
573,VIDP,LEMD,1.0
574,VIDP,ZSPD,1.0
575,VIDP,OMDB,-0.0
576,VIDP,LTFM,-0.0
577,VIDP,ZBAA,1.0
578,VIDP,VIDP,0.0
579,VIDP,EFRO,0.0
580,VIDP,EHEH,0.0
581,VIDP,EFHK,0.0
582,VIDP,LDZA,0.0
583,VIDP,EBBR,0.0
584,VIDP,EIDW,1.0
585,VIDP,LGAV,0.0
586,VIDP,BIKF,0.0
587,VIDP,EETN,0.0
588,VIDP,LKPR,0.0
589,VIDP,FACT,0.0
590,VIDP,ESSA,0.0
591,VIDP,EGPH,0.0
592,VIDP,LFQQ,0.0
593,VIDP,LPPT,0.0
594,EFRO,LIRF,0.0
595,EFRO,EDDT,0.0
596,EFRO,RJAA,0.0
597,EFRO,EDDM,0.0
598,EFRO,LFPG,0.0
599,EFRO,SAEZ,0.0
600,EFRO,CYYZ,0.0
601,EFRO,MMMX,0.0
602,EFRO,CYVR,0.0
603,EFRO,EDDF,0.0
604,EFRO,KJFK,0.0
605,EFRO,SBGL,0.0
606,EFRO,LEMD,0.0
607,EFRO,ZSPD,0.0
608,EFRO,OMDB,0.0
609,EFRO,LTFM,0.0
610,EFRO,ZBAA,0.0
611,EFRO,VIDP,0.0
612,EFRO,EFRO,0.0
613,EFRO,EHEH,0.0
614,EFRO,EFHK,0.0
615,EFRO,LDZA,0.0
616,EFRO,EBBR,0.0
617,EFRO,EIDW,0.0
618,EFRO,LGAV,0.0
619,EFRO,BIKF,0.0
620,EFRO,EETN,0.0
621,EFRO,LKPR,0.0
622,EFRO,FACT,0.0
623,EFRO,ESSA,0.0
624,EFRO,EGPH,0.0
625,EFRO,LFQQ,0.0
626,EFRO,LPPT,0.0
627,EHEH,LIRF,-0.0
628,EHEH,EDDT,-0.0
629,EHEH,RJAA,0.0
630,EHEH,EDDM,-0.0
631,EHEH,LFPG,-0.0
632,EHEH,SAEZ,0.0
633,EHEH,CYYZ,0.0
634,EHEH,MMMX,0.0
635,EHEH,CYVR,0.0
636,EHEH,EDDF,-0.0
637,EHEH,KJFK,0.0
638,EHEH,SBGL,0.0
639,EHEH,LEMD,0.0
640,EHEH,ZSPD,0.0
641,EHEH,OMDB,0.0
642,EHEH,LTFM,0.0
643,EHEH,ZBAA,0.0
644,EHEH,VIDP,0.0
645,EHEH,EFRO,0.0
646,EHEH,EHEH,0.0
647,EHEH,EFHK,0.0
648,EHEH,LDZA,0.0
649,EHEH,EBBR,-0.0
650,EHEH,EIDW,-0.0
651,EHEH,LGAV,0.0
652,EHEH,BIKF,0.0
653,EHEH,EETN,0.0
654,EHEH,LKPR,-0.0
655,EHEH,FACT,0.0
656,EHEH,ESSA,0.0
657,EHEH,EGPH,0.0
658,EHEH,LFQQ,-0.0
659,EHEH,LPPT,0.0
660,EFHK,LIRF,0.0
661,EFHK,EDDT,0.0
662,EFHK,RJAA,1.0
663,EFHK,EDDM,0.0
664,EFHK,LFPG,0.0
665,EFHK,SAEZ,0.0
666,EFHK,CYYZ,0.0
667,EFHK,MMMX,0.0
668,EFHK,CYVR,0.0
669,EFHK,EDDF,0.0
670,EFHK,KJFK,0.0
671,EFHK,SBGL,0.0
672,EFHK,LEMD,0.0
673,EFHK,ZSPD,0.0
674,EFHK,OMDB,0.0
675,EFHK,LTFM,0.0
676,EFHK,ZBAA,0.0
677,EFHK,VIDP,0.0
678,EFHK,EFRO,0.0
679,EFHK,EHEH,0.0
680,EFHK,EFHK,0.0
681,EFHK,LDZA,0.0
682,EFHK,EBBR,0.0
683,EFHK,EIDW,0.0
