,level_0,level_1,LIRF,EDDT,RJAA,EDDM,LFPG,SAEZ,CYYZ,MMMX,CYVR,EDDF,KJFK,SBGL,LEMD,ZSPD,OMDB,LTFM,ZBAA,VIDP,EFRO,EHEH,EFHK,LDZA,EBBR,EIDW,LGAV,BIKF,EETN,LKPR,FACT,ESSA,EGPH,LFQQ,LPPT
44,AC_2,SBGL,34161.724973771255,53107.59692224115,97529.17194734327,51116.81821321125,48855.349646148476,11616.226264463594,44102.32849026242,41040.78989082648,59448.03627852225,50859.814249606585,41280.40635264548,1250.0,43462.51782924577,96244.48221698844,63015.6281583899,54561.248742171396,91264.82412197217,74360.82456478162,60659.23401137371,50600.978335162756,58725.11726951481,51482.55843601805,50146.844484719026,48885.983539654946,51749.46224153945,52253.91131462736,58428.79737676018,52483.55724792791,32941.49236762354,56796.256221702584,50640.818534620004,49660.5045920161,41215.050228459295
45,AC_2,LEMD,5724.383331871647,10895.091926713449,57353.46696762786,9042.173690652005,6782.786984898233,53533.763202469185,32819.00797858189,48445.70511569697,45159.6873184049,8647.476708524271,31271.36175038309,43462.51782924577,1250.0,54736.22637269755,30655.200397543493,15329.604818727912,49212.887628153105,39032.65487533127,19061.342698520108,8530.940700920193,16591.715124650193,10066.078958108954,8088.949839668701,8806.430111023772,13635.35927649392,16275.52016306803,16258.322923397962,10362.534890835037,45690.044668924806,14785.65404767638,10194.781783131433,7672.030763397201,3920.6904647648603
46,AC_2,ZSPD,34314.55920438963,45149.56769849511,10595.969493836978,46972.942501269965,49516.27806674653,103089.08610138202,60691.949623570006,68371.78925915653,48211.52745075396,47387.72924127311,63075.53340494647,96244.48221698844,54736.22637269755,1250.0,34824.20538693612,43030.09058015344,6952.913248752306,23600.296414690434,38284.352507986514,47805.99409252021,39758.45112209472,46409.31714876252,48258.59233509545,50027.520667728895,45817.785097127766,47903.262916148095,39997.03276825991,45630.48452727093,68728.86175614373,41772.37636109993,48299.64211099958,48770.45826901833,57132.686514722634
47,AC_2,OMDB,16694.410023897864,25352.640655246047,42792.328236709174,24990.467173893885,28507.73065686322,72319.27908576667,58943.95353903441,75801.79633412253,62351.10769223086,26443.913705531122,58527.55189320346,63015.6281583899,30655.200397543493,34824.20538693612,1250.0,16994.278045551666,31686.26704952371,12614.9686886547,27379.735045951093,27795.156474411306,24828.919407264468,22903.10770579091,28029.70836381049,32047.708152379164,18270.557455645692,37085.04150351269,24489.58973738303,24463.543385722438,40855.157388558364,26123.83889162966,31307.107023680248,28480.81786257759,33203.51837401172
48,AC_2,LTFM,5883.136233128043,10161.121181297476,48030.15783500951,9310.292140101272,12782.112617341716,64925.50596024883,43826.888198630404,60535.41390926119,51213.67089708561,10819.66304429716,43071.947812824226,54561.248742171396,15329.604818727912,43030.09058015344,16994.278045551666,1250.0,38042.91620652622,25022.315089569238,15913.437316369436,12221.509663243598,12350.25274523403,7163.54232832613,12403.925695433554,16483.04023649908,4122.668306983174,22539.05566017435,11840.781456155924,9001.153990158444,44876.28077020274,12574.307469617166,15991.277899164741,12820.414354006924,17982.85751421161
49,AC_2,ZBAA,30600.613078834205,39590.497069596255,12361.114323418653,41488.3219884828,43925.798080645625,101480.41714190599,56265.65201994263,65974.58683769013,45498.63685574449,41835.382713011786,58433.43565331953,91264.82412197217,49212.887628153105,6952.913248752306,31686.26704952371,38042.91620652622,1250.0,21090.175409400646,32586.141727091766,42202.948973528895,34124.05648208343,41046.36315486102,42656.624878073795,44340.2246181371,40881.75626642452,42269.886293911695,34377.33264809327,40132.301214572195,68589.25220106005,36122.74539626563,42608.68181907533,43162.31978414063,51560.604033654636
50,AC_2,VIDP,22503.675859937226,31370.394059070342,32021.37902866445,31968.471849668815,35438.97081362795,83352.49477662425,61857.35589698109,77532.91822321145,59255.03016797773,33120.29080864647,62457.11392692996,74360.82456478162,39032.65487533127,23600.296414690434,12614.9686886547,25022.315089569238,21090.175409400646,1250.0,29546.227195824176,34215.111387971505,28429.934156276628,30350.650305181818,34572.10635803185,38086.817410303076,27201.071898700437,40789.75371372679,28309.89296715537,31002.69291418459,49398.61322860285,30309.378856987256,36844.13364835682,35100.13399625585,41701.44888842085
51,AC_2,EFRO,11362.683031657327,10113.612155272009,39650.6764869115,12597.549439914834,13535.516510792982,70169.1761443304,33792.3760009564,50322.37534166961,37116.68135659035,12080.48324847635,34176.04157218912,60659.23401137371,19061.342698520108,38284.352507986514,27379.735045951093,15913.437316369436,32586.141727091766,29546.227195824176,1250.0,11808.685184145497,4872.1824281265035,13666.703703647412,12238.060234531516,13043.5737780096,17812.52201720985,12608.156504983934,5396.478540229429,11366.54129261477,59262.96905148876,5748.867279091719,11296.006671853482,12639.320417665887,20942.203524998644
52,AC_2,EHEH,5225.946554851525,4143.040469003909,50078.126509873146,4236.148395674167,3006.3698349213105,60529.28864980945,32885.25898305925,49563.905063035054,41962.51814184211,2678.9971458476166,32104.358069055852,50600.978335162756,8530.940700920193,47805.99409252021,27795.156474411306,12221.509663243598,42202.948973528895,34215.111387971505,11808.685184145497,1250.0,9374.89780604193,6502.083927954907,1704.3643993919407,5516.474377444635,12117.760223538406,12284.641649123752,9084.60163784239,4596.66615204387,50886.39998850238,7509.241533611381,5219.143017511828,2224.673726829486,10636.12729064476
53,AC_2,EFHK,9018.407662326228,7077.616059186169,42038.5946091686,9446.798153183296,11124.489191807146,68606.36890872852,35645.04290525455,52418.56098117718,40380.92739214081,9260.00884169843,35681.146571002435,58725.11726951481,16591.715124650193,39758.45112209472,24828.919407264468,12350.25274523403,34124.05648208343,28429.934156276628,4872.1824281265035,9374.89780604193,1250.0,10213.932530620723,9828.816276641914,11798.608854264858,14190.826916940829,13819.146499942495,1774.4693922687188,8120.17805754119,55643.346698624584,3328.8098687983475,10207.257423118617,10315.774593807277,18760.13195095219
