,ICAO Code_origin,ICAO Code_destination,City Name_origin,City Name_destination,Origin,Destination,Direct_flights,Transfer_flights,Total_flights_AC_1,Total_flights_AC_2,Total_flights_AC_3,Direct_pax,Transfering_pax,OD_pair,Total pax,Total flights
47,EDDT,OMDB,Berlin,Dubai,POINT (13.2877 52.5597),POINT (55.3641 25.2566),"LINESTRING (13.2877 52.5597, 55.3641 25.2566)","LINESTRING (13.2877 52.5597, 2.55 49.0128, 55.3641 25.2566)",0.0,0.0,0.0,0.0,0,EDDT_OMDB,0.0,0.0
48,EDDT,LTFM,Berlin,Instabul,POINT (13.2877 52.5597),POINT (28.7425 41.2593),"LINESTRING (13.2877 52.5597, 28.7425 41.2593)","LINESTRING (13.2877 52.5597, 2.55 49.0128, 28.7425 41.2593)",-0.0,1.0,0.0,119.0,0,EDDT_LTFM,119.0,1.0
49,EDDT,ZBAA,Berlin,Beijing,POINT (13.2877 52.5597),POINT (116.6031 40.0799),"LINESTRING (13.2877 52.5597, 116.6031 40.0799)","LINESTRING (13.2877 52.5597, 2.55 49.0128, 116.6031 40.0799)",0.0,0.0,0.0,0.0,0,EDDT_ZBAA,0.0,0.0
50,EDDT,VIDP,Berlin,New Delhi,POINT (13.2877 52.5597),POINT (77.1006 28.5567),"LINESTRING (13.2877 52.5597, 77.1006 28.5567)","LINESTRING (13.2877 52.5597, 2.55 49.0128, 77.1006 28.5567)",0.0,0.0,0.0,0.0,0,EDDT_VIDP,0.0,0.0
51,EDDT,EFRO,Berlin,Rovaniemi,POINT (13.2877 52.5597),POINT (25.8275 66.558),"LINESTRING (13.2877 52.5597, 25.8275 66.558)","LINESTRING (13.2877 52.5597, 2.55 49.0128, 25.8275 66.558)",0.0,0.0,0.0,0.0,0,EDDT_EFRO,0.0,0.0
52,EDDT,EHEH,Berlin,Eindhoven,POINT (13.2877 52.5597),POINT (5.3784 51.4505),"LINESTRING (13.2877 52.5597, 5.3784 51.4505)","LINESTRING (13.2877 52.5597, 2.55 49.0128, 5.3784 51.4505)",-0.0,0.0,0.0,-0.0,0,EDDT_EHEH,0.0,0.0
53,EDDT,EFHK,Berlin,Helsinki,POINT (13.2877 52.5597),POINT (24.9633 60.3172),"LINESTRING (13.2877 52.5597, 24.9633 60.3172)","LINESTRING (13.2877 52.5597, 2.55 49.0128, 24.9633 60.3172)",-0.0,0.0,0.0,-0.0,0,EDDT_EFHK,0.0,0.0
54,EDDT,LDZA,Berlin,Zagreb,POINT (13.2877 52.5597),POINT (16.0675 45.7407),"LINESTRING (13.2877 52.5597, 16.0675 45.7407)","LINESTRING (13.2877 52.5597, 2.55 49.0128, 16.0675 45.7407)",-0.0,0.0,0.0,-0.0,0,EDDT_LDZA,0.0,0.0
55,EDDT,EBBR,Berlin,Brussels,POINT (13.2877 52.5597),POINT (4.4859 50.9002),"LINESTRING (13.2877 52.5597, 4.4859 50.9002)","LINESTRING (13.2877 52.5597, 2.55 49.0128, 4.4859 50.9002)",1.0,-0.0,0.0,56.0,0,EBBR_EDDT,56.0,1.0
56,EDDT,EIDW,Berlin,Dublin,POINT (13.2877 52.5597),POINT (-6.2701 53.4213),"LINESTRING (13.2877 52.5597, -6.2701 53.4213)","LINESTRING (13.2877 52.5597, 2.55 49.0128, -6.2701 53.4213)",-0.0,0.0,0.0,-0.0,0,EDDT_EIDW,0.0,0.0
57,EDDT,LGAV,Berlin,Athens,POINT (13.2877 52.5597),POINT (23.948 37.9362),"LINESTRING (13.2877 52.5597, 23.948 37.9362)","LINESTRING (13.2877 52.5597, 2.55 49.0128, 23.948 37.9362)",-0.0,0.0,0.0,-0.0,0,EDDT_LGAV,0.0,0.0
58,EDDT,BIKF,Berlin,Reykjavik,POINT (13.2877 52.5597),POINT (-21.9466 64.1318),"LINESTRING (13.2877 52.5597, -21.9466 64.1318)","LINESTRING (13.2877 52.5597, 2.55 49.0128, -21.9466 64.1318)",0.0,0.0,0.0,0.0,0,BIKF_EDDT,0.0,0.0
59,EDDT,EETN,Berlin,Tallinn,POINT (13.2877 52.5597),POINT (24.8165 59.4144),"LINESTRING (13.2877 52.5597, 24.8165 59.4144)","LINESTRING (13.2877 52.5597, 2.55 49.0128, 24.8165 59.4144)",-0.0,0.0,0.0,-0.0,0,EDDT_EETN,0.0,0.0
60,EDDT,LKPR,Berlin,Parague,POINT (13.2877 52.5597),POINT (14.2632 50.1018),"LINESTRING (13.2877 52.5597, 14.2632 50.1018)","LINESTRING (13.2877 52.5597, 2.55 49.0128, 14.2632 50.1018)",1.0,-0.0,0.0,56.0,0,EDDT_LKPR,56.0,1.0
61,EDDT,FACT,Berlin,Cape town,POINT (13.2877 52.5597),POINT (18.6021 -33.9715),"LINESTRING (13.2877 52.5597, 18.6021 -33.9715)","LINESTRING (13.2877 52.5597, 2.55 49.0128, 18.6021 -33.9715)",0.0,0.0,0.0,0.0,0,EDDT_FACT,0.0,0.0
62,EDDT,ESSA,Berlin,Stockholm,POINT (13.2877 52.5597),POINT (17.9186 59.6519),"LINESTRING (13.2877 52.5597, 17.9186 59.6519)","LINESTRING (13.2877 52.5597, 2.55 49.0128, 17.9186 59.6519)",-0.0,-0.0,0.0,-0.0,0,EDDT_ESSA,0.0,0.0
63,EDDT,EGPH,Berlin,Edinburgh,POINT (13.2877 52.5597),POINT (-3.3725 55.95),"LINESTRING (13.2877 52.5597, -3.3725 55.95)","LINESTRING (13.2877 52.5597, 2.55 49.0128, -3.3725 55.95)",-0.0,0.0,0.0,-0.0,0,EDDT_EGPH,0.0,0.0
64,EDDT,LFQQ,Berlin,Lille,POINT (13.2877 52.5597),POINT (3.1025 50.5669),"LINESTRING (13.2877 52.5597, 3.1025 50.5669)","LINESTRING (13.2877 52.5597, 2.55 49.0128, 3.1025 50.5669)",1.0,-0.0,0.0,56.0,0,EDDT_LFQQ,56.0,1.0
65,EDDT,LPPT,Berlin,Lisbon,POINT (13.2877 52.5597),POINT (-9.1359 38.7813),"LINESTRING (13.2877 52.5597, -9.1359 38.7813)","LINESTRING (13.2877 52.5597, 2.55 49.0128, -9.1359 38.7813)",-0.0,0.0,0.0,-0.0,0,EDDT_LPPT,0.0,0.0
66,RJAA,LIRF,Tokyo,Rome,POINT (140.3843 35.7702),POINT (12.239712 41.77354),"LINESTRING (140.3843 35.7702, 12.239712 41.77354)","LINESTRING (140.3843 35.7702, 2.55 49.0128, 12.239712 41.77354)",0.0,0.0,0.0,0.0,0,LIRF_RJAA,0.0,0.0
67,RJAA,EDDT,Tokyo,Berlin,POINT (140.3843 35.7702),POINT (13.2877 52.5597),"LINESTRING (140.3843 35.7702, 13.2877 52.5597)","LINESTRING (140.3843 35.7702, 2.55 49.0128, 13.2877 52.5597)",0.0,0.0,0.0,0.0,0,EDDT_RJAA,0.0,0.0
69,RJAA,EDDM,Tokyo,Munich,POINT (140.3843 35.7702),POINT (11.7861 48.3538),"LINESTRING (140.3843 35.7702, 11.7861 48.3538)","LINESTRING (140.3843 35.7702, 2.55 49.0128, 11.7861 48.3538)",0.0,0.0,0.0,0.0,0,EDDM_RJAA,0.0,0.0
70,RJAA,LFPG,Tokyo,Paris,POINT (140.3843 35.7702),POINT (2.55 49.0128),"LINESTRING (140.3843 35.7702, 2.55 49.0128)","LINESTRING (140.3843 35.7702, 2.55 49.0128, 2.55 49.0128)",0.0,0.0,3.0,256.0,512,LFPG_RJAA,768.0,3.0
71,RJAA,SAEZ,Tokyo,Buenos Aires,POINT (140.3843 35.7702),POINT (-58.5373 -34.8165),"LINESTRING (140.3843 35.7702, -58.5373 -34.8165)","LINESTRING (140.3843 35.7702, 2.55 49.0128, -58.5373 -34.8165)",0.0,0.0,0.0,0.0,0,RJAA_SAEZ,0.0,0.0
72,RJAA,CYYZ,Tokyo,Toronto,POINT (140.3843 35.7702),POINT (-79.6145 43.6817),"LINESTRING (140.3843 35.7702, -79.6145 43.6817)","LINESTRING (140.3843 35.7702, 2.55 49.0128, -79.6145 43.6817)",0.0,0.0,0.0,0.0,0,CYYZ_RJAA,0.0,0.0
73,RJAA,MMMX,Tokyo,Mexico city,POINT (140.3843 35.7702),POINT (-99.0719 19.4361),"LINESTRING (140.3843 35.7702, -99.0719 19.4361)","LINESTRING (140.3843 35.7702, 2.55 49.0128, -99.0719 19.4361)",0.0,0.0,0.0,0.0,0,MMMX_RJAA,0.0,0.0
74,RJAA,CYVR,Tokyo,Vancouver,POINT (140.3843 35.7702),POINT (-123.1788 49.1951),"LINESTRING (140.3843 35.7702, -123.1788 49.1951)","LINESTRING (140.3843 35.7702, 2.55 49.0128, -123.1788 49.1951)",0.0,0.0,0.0,0.0,0,CYVR_RJAA,0.0,0.0
75,RJAA,EDDF,Tokyo,Frankfurt,POINT (140.3843 35.7702),POINT (8.5706 50.0333),"LINESTRING (140.3843 35.7702, 8.5706 50.0333)","LINESTRING (140.3843 35.7702, 2.55 49.0128, 8.5706 50.0333)",0.0,0.0,0.0,0.0,0,EDDF_RJAA,0.0,0.0
76,RJAA,KJFK,Tokyo,New York,POINT (140.3843 35.7702),POINT (-73.7797 40.6446),"LINESTRING (140.3843 35.7702, -73.7797 40.6446)","LINESTRING (140.3843 35.7702, 2.55 49.0128, -73.7797 40.6446)",0.0,0.0,0.0,0.0,0,KJFK_RJAA,0.0,0.0
77,RJAA,SBGL,Tokyo,Rio de Janeiro,POINT (140.3843 35.7702),POINT (-43.2566 -22.8053),"LINESTRING (140.3843 35.7702, -43.2566 -22.8053)","LINESTRING (140.3843 35.7702, 2.55 49.0128, -43.2566 -22.8053)",0.0,0.0,0.0,0.0,0,RJAA_SBGL,0.0,0.0
78,RJAA,LEMD,Tokyo,Madrid,POINT (140.3843 35.7702),POINT (-3.5626 40.4719),"LINESTRING (140.3843 35.7702, -3.5626 40.4719)","LINESTRING (140.3843 35.7702, 2.55 49.0128, -3.5626 40.4719)",0.0,0.0,0.0,0.0,0,LEMD_RJAA,0.0,0.0
79,RJAA,ZSPD,Tokyo,Shanghai,POINT (140.3843 35.7702),POINT (121.8083 31.1443),"LINESTRING (140.3843 35.7702, 121.8083 31.1443)","LINESTRING (140.3843 35.7702, 2.55 49.0128, 121.8083 31.1443)",-0.0,2.0,1.0,496.0,0,RJAA_ZSPD,496.0,3.0
80,RJAA,OMDB,Tokyo,Dubai,POINT (140.3843 35.7702),POINT (55.3641 25.2566),"LINESTRING (140.3843 35.7702, 55.3641 25.2566)","LINESTRING (140.3843 35.7702, 2.55 49.0128, 55.3641 25.2566)",0.0,0.0,0.0,0.0,0,OMDB_RJAA,0.0,0.0
81,RJAA,LTFM,Tokyo,Instabul,POINT (140.3843 35.7702),POINT (28.7425 41.2593),"LINESTRING (140.3843 35.7702, 28.7425 41.2593)","LINESTRING (140.3843 35.7702, 2.55 49.0128, 28.7425 41.2593)",0.0,0.0,0.0,0.0,0,LTFM_RJAA,0.0,0.0
82,RJAA,ZBAA,Tokyo,Beijing,POINT (140.3843 35.7702),POINT (116.6031 40.0799),"LINESTRING (140.3843 35.7702, 116.6031 40.0799)","LINESTRING (140.3843 35.7702, 2.55 49.0128, 116.6031 40.0799)",-0.0,-0.0,1.0,256.0,0,RJAA_ZBAA,256.0,1.0
83,RJAA,VIDP,Tokyo,New Delhi,POINT (140.3843 35.7702),POINT (77.1006 28.5567),"LINESTRING (140.3843 35.7702, 77.1006 28.5567)","LINESTRING (140.3843 35.7702, 2.55 49.0128, 77.1006 28.5567)",0.0,0.0,0.0,0.0,0,RJAA_VIDP,0.0,0.0
84,RJAA,EFRO,Tokyo,Rovaniemi,POINT (140.3843 35.7702),POINT (25.8275 66.558),"LINESTRING (140.3843 35.7702, 25.8275 66.558)","LINESTRING (140.3843 35.7702, 2.55 49.0128, 25.8275 66.558)",0.0,0.0,0.0,0.0,0,EFRO_RJAA,0.0,0.0
85,RJAA,EHEH,Tokyo,Eindhoven,POINT (140.3843 35.7702),POINT (5.3784 51.4505),"LINESTRING (140.3843 35.7702, 5.3784 51.4505)","LINESTRING (140.3843 35.7702, 2.55 49.0128, 5.3784 51.4505)",0.0,0.0,0.0,0.0,0,EHEH_RJAA,0.0,0.0
86,RJAA,EFHK,Tokyo,Helsinki,POINT (140.3843 35.7702),POINT (24.9633 60.3172),"LINESTRING (140.3843 35.7702, 24.9633 60.3172)","LINESTRING (140.3843 35.7702, 2.55 49.0128, 24.9633 60.3172)",0.0,0.0,0.0,0.0,0,EFHK_RJAA,0.0,0.0
87,RJAA,LDZA,Tokyo,Zagreb,POINT (140.3843 35.7702),POINT (16.0675 45.7407),"LINESTRING (140.3843 35.7702, 16.0675 45.7407)","LINESTRING (140.3843 35.7702, 2.55 49.0128, 16.0675 45.7407)",0.0,0.0,0.0,0.0,0,LDZA_RJAA,0.0,0.0
88,RJAA,EBBR,Tokyo,Brussels,POINT (140.3843 35.7702),POINT (4.4859 50.9002),"LINESTRING (140.3843 35.7702, 4.4859 50.9002)","LINESTRING (140.3843 35.7702, 2.55 49.0128, 4.4859 50.9002)",0.0,0.0,0.0,0.0,0,EBBR_RJAA,0.0,0.0
